"","gene","colors"
"368","Pastreoides04181","lightcyan"
"369","Pastreoides04183","green"
"370","Pastreoides04187","turquoise"
"371","Pastreoides04202","pink"
"372","Pastreoides04204","turquoise"
"373","Pastreoides04209","lightcyan"
"374","Pastreoides04243","salmon"
"375","Pastreoides04245","grey"
"376","Pastreoides04270","grey"
"377","Pastreoides04272","yellow"
"378","Pastreoides04278","black"
"379","Pastreoides04328","green"
"380","Pastreoides04329","grey"
"381","Pastreoides04333","yellow"
"382","Pastreoides04378","grey"
"383","Pastreoides04412","red"
"384","Pastreoides04445","purple"
"385","Pastreoides04450","tan"
"386","Pastreoides04487","turquoise"
"387","Pastreoides04524","magenta"
"388","Pastreoides04527","blue"
"389","Pastreoides04538","turquoise"
"390","Pastreoides04539","yellow"
"391","Pastreoides04543","brown"
"392","Pastreoides04546","grey60"
"393","Pastreoides04548","yellow"
"394","Pastreoides04558","greenyellow"
"395","Pastreoides04562","turquoise"
"396","Pastreoides04566","lightcyan"
"397","Pastreoides04585","blue"
"398","Pastreoides04586","midnightblue"
"399","Pastreoides04587","tan"
"400","Pastreoides04598","lightyellow"
"401","Pastreoides04600","grey"
"402","Pastreoides04601","grey"
"403","Pastreoides04602","turquoise"
"404","Pastreoides04613","black"
"405","Pastreoides04621","grey"
"406","Pastreoides04626","turquoise"
"407","Pastreoides04628","midnightblue"
"408","Pastreoides04631","brown"
"409","Pastreoides04633","grey"
"410","Pastreoides04638","blue"
"411","Pastreoides04647","red"
"412","Pastreoides04661","lightgreen"
"413","Pastreoides04662","pink"
"414","Pastreoides04671","turquoise"
"415","Pastreoides04681","grey60"
"416","Pastreoides04682","lightgreen"
"417","Pastreoides04696","black"
"418","Pastreoides04713","lightyellow"
"419","Pastreoides04780","grey"
"420","Pastreoides04785","lightcyan"
"421","Pastreoides04828","grey"
"422","Pastreoides04835","green"
"423","Pastreoides04842","brown"
"424","Pastreoides04851","turquoise"
"425","Pastreoides04857","green"
"426","Pastreoides04914","brown"
"427","Pastreoides04951","grey"
"428","Pastreoides04960","grey"
"429","Pastreoides04969","red"
"430","Pastreoides04970","brown"
"431","Pastreoides04973","blue"
"432","Pastreoides04976","blue"
"433","Pastreoides04977","turquoise"
"434","Pastreoides05026","grey"
"435","Pastreoides05033","lightcyan"
