"","Date","coral.id.x","Origin","Treatment.y","Transplant.Site","N","Conc.calcS.mg.mm3","sd","se","ci"
"58",20180712,"P-10-A","Patch","Ambient","Patch",3,1.43956191800765,0.0305779657152019,0.017654196736943,0.0759598777817417
"59",20180712,"P-12-A","Patch","Hot","Patch",3,2.28378156092261,0.201256304219469,0.11619538141722,0.49994837503908
"60",20180712,"P-14-B","Patch","Hot","Rim",3,2.43399166602056,0.107987935704335,0.06234686374813,0.268256903497209
"61",20180712,"P-15-B","Patch","Hot","Rim",3,1.73359645239594,0.0574672312587319,0.0331787214368114,0.142756516359693
"62",20180712,"P-16-A","Patch","Hot","Patch",3,1.12995399273216,0.0698301464811648,0.0403164538684515,0.173467700290911
"63",20180712,"P-19-A","Patch","Hot","Patch",3,1.23108735240045,0.106438084227584,0.0614520565808235,0.264406858996199
"64",20180712,"P-4-A","Patch","Ambient","Patch",3,2.15918116781269,0.0343898461871373,0.0198549869535335,0.085429113814761
"65",20180712,"R-14-B","Rim","Hot","Rim",3,2.4497479175695,0.103516850537553,0.0597654815235183,0.257150112221957
"66",20180712,"R-15-A","Rim","Hot","Patch",3,1.74003577947772,0.0960836150751528,0.0554739010283519,0.23868493168949
"67",20180712,"R-7-A","Rim","Ambient","Patch",3,2.54633022404477,0.256325876508094,0.147989813802215,0.636748776331214
"68",20180712,"R-8-A","Rim","Ambient","Patch",3,2.1286308541682,0.110421296866591,0.063751765470194,0.274301707726678
"69",20180712,"R-9-B","Rim","Ambient","Rim",3,2.38514346629155,0.0930168276937961,0.0537032905081782,0.231066609501541
"70",20180713,"P-19-A","Patch","Hot","Patch",6,1.51205626899107,0.467214024710511,0.190739326868807,0.490311048990453
"71",20180713,"P-6-B","Patch","Ambient","Rim",3,1.82606856275611,0.0428046874980232,0.0247132978495615,0.106332738453527
"72",20180713,"R-14-B","Rim","Hot","Rim",3,1.9888149101887,0.0865630662906903,0.0499772096248095,0.215034577417448
"73",20180713,"R-15-A","Rim","Hot","Patch",3,1.35973041222005,0.0655961225870304,0.0378719390334177,0.16294980186304
"74",20180713,"R-19-A","Rim","Hot","Patch",3,1.33428653742083,0.0312366252234317,0.0180344739813237,0.0775960787053382
"75",20180713,"R-19-B","Rim","Hot","Rim",3,2.39793698162645,0.050753732695058,0.02930268123387,0.126079261399889
"76",20180713,"R-7-B","Rim","Ambient","Rim",6,2.70382582037406,0.237092679870722,0.0967926812387183,0.248813508214785
