Mooring Name,Latitude,Longitude,Date,Time,SST_C,Salinity
HOG_REEF_64W_32N,32.457,-64.835,10/26/2017,15:17,24.884,36.569
HOG_REEF_64W_32N,32.457,-64.835,10/26/2017,18:17,25.081,36.569
HOG_REEF_64W_32N,32.457,-64.835,10/26/2017,21:17,24.926,36.561
HOG_REEF_64W_32N,32.457,-64.835,10/27/2017,0:17,24.962,36.498
HOG_REEF_64W_32N,32.457,-64.835,10/27/2017,3:17,24.957,36.502
HOG_REEF_64W_32N,32.457,-64.835,10/27/2017,6:17,24.913,36.484
HOG_REEF_64W_32N,32.457,-64.835,10/27/2017,9:17,25.243,36.481
HOG_REEF_64W_32N,32.457,-64.835,10/27/2017,12:17,25.193,36.481
HOG_REEF_64W_32N,32.457,-64.835,10/27/2017,15:17,25.018,36.464
HOG_REEF_64W_32N,32.457,-64.835,10/27/2017,18:17,24.991,36.46
HOG_REEF_64W_32N,32.457,-64.835,10/27/2017,21:17,24.986,36.445
HOG_REEF_64W_32N,32.457,-64.835,10/28/2017,0:17,24.881,36.43
HOG_REEF_64W_32N,32.457,-64.835,10/28/2017,3:17,24.743,36.433
HOG_REEF_64W_32N,32.457,-64.835,10/28/2017,6:17,24.645,36.437
HOG_REEF_64W_32N,32.457,-64.835,10/28/2017,9:17,24.695,36.47
HOG_REEF_64W_32N,32.457,-64.835,10/28/2017,12:17,25.102,36.532
HOG_REEF_64W_32N,32.457,-64.835,10/28/2017,15:17,25.265,36.538
HOG_REEF_64W_32N,32.457,-64.835,10/28/2017,18:17,25.247,36.529
HOG_REEF_64W_32N,32.457,-64.835,10/28/2017,21:17,25.163,36.524
HOG_REEF_64W_32N,32.457,-64.835,10/29/2017,0:17,25.039,36.528
HOG_REEF_64W_32N,32.457,-64.835,10/29/2017,3:17,24.845,36.521
HOG_REEF_64W_32N,32.457,-64.835,10/29/2017,6:17,24.698,36.518
HOG_REEF_64W_32N,32.457,-64.835,10/29/2017,9:17,24.641,36.526
HOG_REEF_64W_32N,32.457,-64.835,10/29/2017,12:17,24.583,36.531
HOG_REEF_64W_32N,32.457,-64.835,10/29/2017,15:17,24.83,36.548
HOG_REEF_64W_32N,32.457,-64.835,10/29/2017,18:17,25.119,36.564
HOG_REEF_64W_32N,32.457,-64.835,10/29/2017,21:17,25.204,36.576
HOG_REEF_64W_32N,32.457,-64.835,10/30/2017,0:17,24.92,36.568
HOG_REEF_64W_32N,32.457,-64.835,10/30/2017,3:17,24.592,36.55
HOG_REEF_64W_32N,32.457,-64.835,10/30/2017,6:17,24.414,36.54
HOG_REEF_64W_32N,32.457,-64.835,10/30/2017,9:17,24.585,36.574
HOG_REEF_64W_32N,32.457,-64.835,10/30/2017,12:17,24.864,36.585
HOG_REEF_64W_32N,32.457,-64.835,10/30/2017,15:17,25.015,36.583
HOG_REEF_64W_32N,32.457,-64.835,10/30/2017,18:17,25.103,36.582
HOG_REEF_64W_32N,32.457,-64.835,10/30/2017,21:17,25.103,36.567
HOG_REEF_64W_32N,32.457,-64.835,10/31/2017,0:17,25.053,36.571
HOG_REEF_64W_32N,32.457,-64.835,10/31/2017,3:17,24.811,36.571
HOG_REEF_64W_32N,32.457,-64.835,10/31/2017,6:17,24.629,36.563
HOG_REEF_64W_32N,32.457,-64.835,10/31/2017,9:17,24.753,36.573
HOG_REEF_64W_32N,32.457,-64.835,10/31/2017,12:17,24.764,36.576
HOG_REEF_64W_32N,32.457,-64.835,10/31/2017,15:17,24.817,36.577
HOG_REEF_64W_32N,32.457,-64.835,10/31/2017,18:17,25.073,36.574
HOG_REEF_64W_32N,32.457,-64.835,10/31/2017,21:17,25.248,36.564
HOG_REEF_64W_32N,32.457,-64.835,11/1/2017,0:17,25.187,36.564
HOG_REEF_64W_32N,32.457,-64.835,11/1/2017,3:17,25.012,36.572
HOG_REEF_64W_32N,32.457,-64.835,11/1/2017,6:17,24.711,36.561
HOG_REEF_64W_32N,32.457,-64.835,11/1/2017,9:17,24.834,36.549
HOG_REEF_64W_32N,32.457,-64.835,11/1/2017,12:17,25.044,36.556
HOG_REEF_64W_32N,32.457,-64.835,11/1/2017,15:17,25.197,36.556
HOG_REEF_64W_32N,32.457,-64.835,11/1/2017,18:17,25.317,36.556
HOG_REEF_64W_32N,32.457,-64.835,11/1/2017,21:17,25.325,36.555
HOG_REEF_64W_32N,32.457,-64.835,11/2/2017,0:17,25.319,36.559
HOG_REEF_64W_32N,32.457,-64.835,11/2/2017,3:17,25.013,36.558
HOG_REEF_64W_32N,32.457,-64.835,11/2/2017,6:17,24.826,36.552
HOG_REEF_64W_32N,32.457,-64.835,11/2/2017,9:17,24.891,36.565
HOG_REEF_64W_32N,32.457,-64.835,11/2/2017,12:17,25.032,36.564
HOG_REEF_64W_32N,32.457,-64.835,11/2/2017,15:17,25.09,36.567
HOG_REEF_64W_32N,32.457,-64.835,11/2/2017,18:17,25.163,36.573
HOG_REEF_64W_32N,32.457,-64.835,11/2/2017,21:17,25.238,36.57
HOG_REEF_64W_32N,32.457,-64.835,11/3/2017,0:17,25.164,36.573
HOG_REEF_64W_32N,32.457,-64.835,11/3/2017,3:17,24.764,36.566
HOG_REEF_64W_32N,32.457,-64.835,11/3/2017,6:17,24.624,36.561
HOG_REEF_64W_32N,32.457,-64.835,11/3/2017,9:17,24.834,36.578
HOG_REEF_64W_32N,32.457,-64.835,11/3/2017,12:17,24.975,36.573
HOG_REEF_64W_32N,32.457,-64.835,11/3/2017,15:17,25.069,36.577
HOG_REEF_64W_32N,32.457,-64.835,11/3/2017,18:17,25.137,36.58
HOG_REEF_64W_32N,32.457,-64.835,11/3/2017,21:17,25.039,36.575
HOG_REEF_64W_32N,32.457,-64.835,11/4/2017,0:17,24.95,36.575
HOG_REEF_64W_32N,32.457,-64.835,11/4/2017,3:17,24.707,36.565
HOG_REEF_64W_32N,32.457,-64.835,11/4/2017,6:17,24.606,36.557
HOG_REEF_64W_32N,32.457,-64.835,11/4/2017,9:17,24.585,36.562
HOG_REEF_64W_32N,32.457,-64.835,11/4/2017,12:17,24.917,36.578
HOG_REEF_64W_32N,32.457,-64.835,11/4/2017,15:17,25.02,36.573
HOG_REEF_64W_32N,32.457,-64.835,11/4/2017,18:17,24.887,36.579
HOG_REEF_64W_32N,32.457,-64.835,11/4/2017,21:17,24.948,36.575
HOG_REEF_64W_32N,32.457,-64.835,11/5/2017,0:17,25.001,36.572
HOG_REEF_64W_32N,32.457,-64.835,11/5/2017,3:17,24.96,36.572
HOG_REEF_64W_32N,32.457,-64.835,11/5/2017,6:17,24.77,36.577
HOG_REEF_64W_32N,32.457,-64.835,11/5/2017,9:17,24.537,36.572
HOG_REEF_64W_32N,32.457,-64.835,11/5/2017,12:17,24.517,36.574
HOG_REEF_64W_32N,32.457,-64.835,11/5/2017,15:17,24.623,36.579
HOG_REEF_64W_32N,32.457,-64.835,11/5/2017,18:17,24.65,36.571
HOG_REEF_64W_32N,32.457,-64.835,11/5/2017,21:17,24.617,36.57
HOG_REEF_64W_32N,32.457,-64.835,11/6/2017,0:17,24.582,36.563
HOG_REEF_64W_32N,32.457,-64.835,11/6/2017,3:17,24.582,36.566
HOG_REEF_64W_32N,32.457,-64.835,11/6/2017,6:17,24.526,36.558
HOG_REEF_64W_32N,32.457,-64.835,11/6/2017,9:17,24.48,36.554
HOG_REEF_64W_32N,32.457,-64.835,11/6/2017,12:17,24.446,36.546
HOG_REEF_64W_32N,32.457,-64.835,11/6/2017,15:17,24.605,36.546
HOG_REEF_64W_32N,32.457,-64.835,11/6/2017,18:17,24.748,36.55
HOG_REEF_64W_32N,32.457,-64.835,11/6/2017,21:17,24.744,36.545
HOG_REEF_64W_32N,32.457,-64.835,11/7/2017,0:17,25.049,36.545
HOG_REEF_64W_32N,32.457,-64.835,11/7/2017,3:17,24.909,36.547
HOG_REEF_64W_32N,32.457,-64.835,11/7/2017,6:17,24.824,36.543
HOG_REEF_64W_32N,32.457,-64.835,11/7/2017,9:17,24.763,36.547
HOG_REEF_64W_32N,32.457,-64.835,11/7/2017,12:17,24.719,36.547
HOG_REEF_64W_32N,32.457,-64.835,11/7/2017,15:17,24.846,36.546
