Vial,coral.id,Date.sampled,life.stage,metric
732,,,Adult,
733,,,Adult,
734,,,Adult,
735,,,Adult,
736,,,Adult,
737,,,Adult,
738,,,Adult,
739,,,Adult,
740,,,Adult,
741,,,Adult,
742,,,Adult,
743,,,Adult,
744,,,Adult,
745,,,Adult,
746,,,Adult,
747,,,Adult,
748,,,Adult,
749,,,Adult,
750,,,Adult,
751,,,Adult,
752,,,Adult,
753,,,Adult,
754,,,Adult,
755,,,Adult,
756,,,Adult,
757,,,Adult,
758,,,Adult,
759,,,Adult,
760,,,Adult,
761,,,Adult,
762,,,Adult,
763,,,Adult,
764,,,Adult,
765,,,Adult,
766,,,Adult,
767,,,Adult,
768,,,Adult,
769,,,Adult,
770,,,Adult,
771,,,Adult,
772,,,Adult,
773,,,Adult,
774,,,Adult,
775,,,Adult,
776,,,Adult,
777,,,Adult,
778,,,Adult,
779,,,Adult,
780,,,Adult,
781,,,Adult,
782,,,Adult,
783,,,Adult,
784,,,Adult,
785,,,Adult,
786,,,Adult,
787,,,Adult,
788,,,Adult,
789,,,Adult,
790,,,Adult,
791,,,Adult,
792,,,Adult,
793,,,Adult,
794,,,Adult,
795,,,Adult,
796,,,Adult,
797,,,Adult,
798,,,Adult,
799,,,Adult,
800,,,Adult,
801,,,Adult,
802,,,Adult,
803,,,Adult,
804,,,Adult,
805,,,Adult,
806,,,Adult,
807,,,Adult,
808,,,Adult,
809,,,Adult,
810,,,Adult,
811,,,Adult,
812,,,Adult,
813,,,Adult,
814,,,Adult,
815,,,Adult,
816,,,Adult,
817,,,Adult,
818,,,Adult,
819,,,Adult,
820,,,Adult,
821,,,Adult,
822,,,Adult,
823,,,Adult,
824,,,Adult,
825,,,Adult,
826,,,Adult,
827,,,Adult,
828,,,Adult,
829,,,Adult,
830,,,Adult,
831,,,Adult,
832,,,Adult,
833,,,Adult,
834,,,Adult,
835,,,Adult,
836,,,Adult,
837,,,Adult,
838,,,Adult,
839,,,Adult,
840,,,Adult,
841,,,Adult,
842,,,Adult,
843,,,Adult,
844,,,Adult,
845,,,Adult,
846,,,Adult,
847,,,Adult,
848,,,Adult,
849,,,Adult,
850,,,Adult,
851,,,Adult,
852,,,Adult,
853,,,Adult,
854,,,Adult,
855,,,Adult,
856,,,Adult,
857,,,Adult,
858,,,Adult,
859,,,Adult,
860,,,Adult,
861,,,Adult,
862,,,Adult,
863,,,Adult,
864,,,Adult,
865,,,Adult,
866,,,Adult,
867,,,Adult,
868,,,Adult,
869,,,Adult,
870,,,Adult,
871,,,Adult,
872,,,Adult,
873,,,Adult,
874,,,Adult,
875,,,Adult,
876,,,Adult,
877,,,Adult,
878,,,Adult,
879,,,Adult,
880,,,Adult,
881,,,Adult,
882,,,Adult,
883,,,Adult,
884,,,Adult,
885,,,Adult,
886,,,Adult,
887,,,Adult,
888,,,Adult,
889,,,Adult,
890,,,Adult,
891,,,Adult,
892,,,Adult,
893,,,Adult,
894,,,Adult,
895,,,Adult,
896,,,Adult,
897,,,Adult,
898,,,Adult,
899,,,Adult,
900,,,Adult,
901,,,Adult,
902,,,Adult,
903,,,Adult,
904,,,Adult,
905,,,Adult,
906,,,Adult,
907,,,Adult,
908,,,Adult,
909,,,Adult,
910,,,Adult,
