Sample Name_file,Trimming,Sample,Coral.ID,History,Life_Stage,Gel_Result,Extraction_Date,PMS_Date,percent_mCpG,percent_mCHG,percent_mCHH,M_Cs,percent_Dups,percent_Aligned,Ins_size,Median_cov,Mean_cov,R1_percent_BP_Trimmed,R1_percent_Dups,R1_percent_GC,R1_M_Seqs,R2_percent_BP_Trimmed,R2_percent_Dups,R2_percent_GC,R2_M_Seqs
18-334_S164_L004_R1_001_val_1,Original,18-334,P-19-B,Patch-Heated-Rim,Adult,High Molecular Weight,20200819,20210422,8.90%,0.80%,0.90%,146.2,9.80%,31.30%,163,1.0X,1.6X,8.20%,11.40%,24%,16.4,8.30%,11.40%,25%,16.4
18-358_S201_L004_R1_001_val_1,Original,18-358,P-10-A,Patch-Ambient-Patch,Adult,High Molecular Weight,20200806,20210511,8.20%,1.40%,1.80%,421.9,21.20%,32.80%,111,2.0X,5.3X,21.50%,25.50%,31%,71.4,21.20%,25.30%,31%,71.4
18-370_S171_L004_R1_001_val_1,Original,18-370,P-15-A,Patch-Heated-Patch,Adult,High Molecular Weight,20200812,20210426,8.00%,1.00%,1.30%,503.2,11.80%,39.00%,108,4.0X,6.3X,23.20%,18.80%,32%,65.2,22.90%,18.00%,31%,65.2
18-394_S192_L004_R1_001_val_1,Original,18-394,P-9-B,Patch-Ambient-Rim,Adult,High Molecular Weight,20200812,20210504,7.50%,0.70%,0.90%,387.6,12.00%,36.40%,114,2.0X,4.8X,18.60%,17.30%,30%,50.7,18.40%,16.90%,29%,50.7
18-406_S177_L004_R1_001_val_1,Original,18-406,R-15-A,Rim-Heated-Patch,Adult,High Molecular Weight,20200812,20210428,7.70%,0.70%,1.00%,509.8,12.30%,38.40%,111,3.0X,6.4X,18.30%,16.70%,28%,64,18.10%,16.40%,29%,64
18-418_S196_L004_R1_001_val_1,Original,18-418,R-9-A,Rim-Ambient-Patch,Adult,High Molecular Weight,20200812,20210506,7.70%,0.60%,0.90%,475.9,15.60%,38.60%,111,3.0X,6.0X,20.20%,20.60%,30%,62.8,20.00%,20.60%,30%,62.8
18-44_S198_L004_R1_001_val_1,Original,18-44,R-19-B,Rim-Heated-Rim,Adult,High Molecular Weight,20200819,20210506,7.80%,0.60%,0.90%,534.7,14.90%,35.40%,126,3.0X,6.4X,15.10%,20.70%,28%,68.2,15.00%,20.80%,28%,68.2
18-442_S165_L004_R1_001_val_1,Original,18-442,R-9-B,Rim-Ambient-Rim,Adult,High Molecular Weight,20200807,20210422,8.40%,0.90%,1.10%,644.3,17.00%,30.70%,147,5.0X,7.1X,10.30%,21.40%,25%,85.3,10.30%,20.70%,25%,85.3
18-454_S197_L004_R1_001_val_1,Original,18-454,P-12-A,Patch-Heated-Patch,Adult,High Molecular Weight,20200807,20210506,8.10%,0.60%,0.90%,633.3,18.80%,39.20%,117,5.0X,7.9X,17.30%,22.80%,28%,81.6,17.10%,23.00%,29%,81.6
18-466_S199_L004_R1_001_val_1,Original,18-466,R-15-B,Rim-Heated-Rim,Adult,High Molecular Weight,20200807,20210506,7.50%,0.60%,0.80%,641.1,25.00%,33.40%,143,4.0X,7.3X,11.30%,29.10%,26%,88.6,11.20%,29.20%,27%,88.6
18-55_S190_L004_R1_001_val_1,Original,18-55,R-7-A,Rim-Ambient-Patch,Adult,High Molecular Weight,20200821,20210504,7.30%,0.60%,0.90%,488,12.80%,38.50%,112,3.0X,6.1X,18.40%,19.00%,29%,61.7,18.30%,18.70%,29%,61.7
18-67_S176_L004_R1_001_val_1,Original,18-67,P-14-B,Patch-Heated-Rim,Adult,High Molecular Weight,20200813,20210426,8.10%,0.80%,1.20%,375.4,10.70%,33.00%,108,3.0X,4.6X,28.40%,24.70%,35%,62,27.70%,23.30%,34%,62
