"","GO_ID","gene","colors","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","GOSlim_bin","aspect"
"774","GO:0005768","Pastreoides38073","brown",NA,NA,NA,NA,NA,NA,NA,NA
"775","GO:0005769","Pastreoides07540","brown",NA,NA,NA,NA,NA,NA,NA,NA
"776","GO:0005769","Pastreoides10000","brown",NA,NA,NA,NA,NA,NA,NA,NA
"777","GO:0005769","Pastreoides15206","brown",NA,NA,NA,NA,NA,NA,NA,NA
"778","GO:0005769","Pastreoides17036","brown",NA,NA,NA,NA,NA,NA,NA,NA
"779","GO:0005769","Pastreoides22094","brown",NA,NA,NA,NA,NA,NA,NA,NA
"780","GO:0005769","Pastreoides39669","brown",NA,NA,NA,NA,NA,NA,NA,NA
"781","GO:0005770","Pastreoides03540","brown",NA,NA,NA,NA,NA,NA,NA,NA
"782","GO:0005770","Pastreoides10000","brown",NA,NA,NA,NA,NA,NA,NA,NA
"783","GO:0005770","Pastreoides23236","brown",NA,NA,NA,NA,NA,NA,NA,NA
"784","GO:0005771","Pastreoides39669","brown",NA,NA,NA,NA,NA,NA,NA,NA
"785","GO:0005773","Pastreoides06381","brown",NA,NA,NA,NA,NA,NA,NA,NA
"786","GO:0005773","Pastreoides15601","brown",NA,NA,NA,NA,NA,NA,NA,NA
"787","GO:0005774","Pastreoides00069","brown",NA,NA,NA,NA,NA,NA,NA,NA
"788","GO:0005774","Pastreoides03540","brown",NA,NA,NA,NA,NA,NA,NA,NA
"789","GO:0005777","Pastreoides26449","brown",NA,NA,NA,NA,NA,NA,NA,NA
"790","GO:0005777","Pastreoides36848","brown",NA,NA,NA,NA,NA,NA,NA,NA
"791","GO:0005777","Pastreoides43918","brown",NA,NA,NA,NA,NA,NA,NA,NA
"792","GO:0005783","Pastreoides14527","brown",NA,NA,NA,NA,NA,NA,NA,NA
"793","GO:0005783","Pastreoides03047","brown",NA,NA,NA,NA,NA,NA,NA,NA
"794","GO:0005783","Pastreoides06381","brown",NA,NA,NA,NA,NA,NA,NA,NA
"795","GO:0005783","Pastreoides08666","brown",NA,NA,NA,NA,NA,NA,NA,NA
"796","GO:0005783","Pastreoides10000","brown",NA,NA,NA,NA,NA,NA,NA,NA
"797","GO:0005783","Pastreoides11868","brown",NA,NA,NA,NA,NA,NA,NA,NA
"798","GO:0005783","Pastreoides15601","brown",NA,NA,NA,NA,NA,NA,NA,NA
"799","GO:0005783","Pastreoides20277","brown",NA,NA,NA,NA,NA,NA,NA,NA
"800","GO:0005783","Pastreoides21071","brown",NA,NA,NA,NA,NA,NA,NA,NA
"801","GO:0005783","Pastreoides38073","brown",NA,NA,NA,NA,NA,NA,NA,NA
"802","GO:0005783","Pastreoides39669","brown",NA,NA,NA,NA,NA,NA,NA,NA
"803","GO:0005789","Pastreoides48958","brown",0.0012292523856403,0.999739078740163,9,36,"endoplasmic reticulum membrane","CC","other membranes","C"
"804","GO:0005789","Pastreoides23785","brown",0.0012292523856403,0.999739078740163,9,36,"endoplasmic reticulum membrane","CC","other membranes","C"
"805","GO:0005789","Pastreoides03971","brown",0.0012292523856403,0.999739078740163,9,36,"endoplasmic reticulum membrane","CC","other membranes","C"
"806","GO:0005789","Pastreoides13607","brown",0.0012292523856403,0.999739078740163,9,36,"endoplasmic reticulum membrane","CC","other membranes","C"
"807","GO:0005789","Pastreoides45686","brown",0.0012292523856403,0.999739078740163,9,36,"endoplasmic reticulum membrane","CC","other membranes","C"
"808","GO:0005789","Pastreoides58164","brown",0.0012292523856403,0.999739078740163,9,36,"endoplasmic reticulum membrane","CC","other membranes","C"
"809","GO:0005789","Pastreoides42565","brown",0.0012292523856403,0.999739078740163,9,36,"endoplasmic reticulum membrane","CC","other membranes","C"
"810","GO:0005789","Pastreoides13592","brown",0.0012292523856403,0.999739078740163,9,36,"endoplasmic reticulum membrane","CC","other membranes","C"
"811","GO:0005789","Pastreoides58164","brown",0.0012292523856403,0.999739078740163,9,36,"endoplasmic reticulum membrane","CC","other membranes","C"
"812","GO:0005789","Pastreoides36848","brown",0.0012292523856403,0.999739078740163,9,36,"endoplasmic reticulum membrane","CC","other membranes","C"
"813","GO:0005790","Pastreoides21202","brown",NA,NA,NA,NA,NA,NA,NA,NA
"814","GO:0005793","Pastreoides13607","brown",NA,NA,NA,NA,NA,NA,NA,NA
"815","GO:0005794","Pastreoides27101","brown",0.0166554015273192,0.992199708908259,17,116,"Golgi apparatus","CC","ER/Golgi","C"
"816","GO:0005794","Pastreoides02455","brown",0.0166554015273192,0.992199708908259,17,116,"Golgi apparatus","CC","ER/Golgi","C"
"817","GO:0005794","Pastreoides20277","brown",0.0166554015273192,0.992199708908259,17,116,"Golgi apparatus","CC","ER/Golgi","C"
"818","GO:0005794","Pastreoides04631","brown",0.0166554015273192,0.992199708908259,17,116,"Golgi apparatus","CC","ER/Golgi","C"
"819","GO:0005794","Pastreoides21202","brown",0.0166554015273192,0.992199708908259,17,116,"Golgi apparatus","CC","ER/Golgi","C"
"820","GO:0005794","Pastreoides09911","brown",0.0166554015273192,0.992199708908259,17,116,"Golgi apparatus","CC","ER/Golgi","C"
"821","GO:0005794","Pastreoides38073","brown",0.0166554015273192,0.992199708908259,17,116,"Golgi apparatus","CC","ER/Golgi","C"
"822","GO:0005794","Pastreoides18035","brown",0.0166554015273192,0.992199708908259,17,116,"Golgi apparatus","CC","ER/Golgi","C"
"823","GO:0005794","Pastreoides07540","brown",0.0166554015273192,0.992199708908259,17,116,"Golgi apparatus","CC","ER/Golgi","C"
"824","GO:0005794","Pastreoides15601","brown",0.0166554015273192,0.992199708908259,17,116,"Golgi apparatus","CC","ER/Golgi","C"
"825","GO:0005794","Pastreoides10000","brown",0.0166554015273192,0.992199708908259,17,116,"Golgi apparatus","CC","ER/Golgi","C"
"826","GO:0005794","Pastreoides03971","brown",0.0166554015273192,0.992199708908259,17,116,"Golgi apparatus","CC","ER/Golgi","C"
"827","GO:0005794","Pastreoides06381","brown",0.0166554015273192,0.992199708908259,17,116,"Golgi apparatus","CC","ER/Golgi","C"
"828","GO:0005794","Pastreoides30277","brown",0.0166554015273192,0.992199708908259,17,116,"Golgi apparatus","CC","ER/Golgi","C"
"829","GO:0005794","Pastreoides27332","brown",0.0166554015273192,0.992199708908259,17,116,"Golgi apparatus","CC","ER/Golgi","C"
"830","GO:0005794","Pastreoides07589","brown",0.0166554015273192,0.992199708908259,17,116,"Golgi apparatus","CC","ER/Golgi","C"
"831","GO:0005794","Pastreoides13592","brown",0.0166554015273192,0.992199708908259,17,116,"Golgi apparatus","CC","ER/Golgi","C"
"832","GO:0005797","Pastreoides23988","brown",NA,NA,NA,NA,NA,NA,NA,NA
"833","GO:0005798","Pastreoides22094","brown",NA,NA,NA,NA,NA,NA,NA,NA
"834","GO:0005802","Pastreoides03295","brown",NA,NA,NA,NA,NA,NA,NA,NA
