Sample.ID	Meth_Status	Feature	percent	Coral.ID	History	LifeStage	Group	Origin	Treatment	Transplant	Col_Life
90	18-167	Unmethylated	Downstream_Flanks	4.77	R-19-A	Rim-Heated-Patch	Adult	A-RHP	Rim	Heated	Patch	R-19-A_Adult
91	18-167	Unmethylated	Introns	18.49	R-19-A	Rim-Heated-Patch	Adult	A-RHP	Rim	Heated	Patch	R-19-A_Adult
92	18-167	Methylated	Downstream_Flanks	2.81	R-19-A	Rim-Heated-Patch	Adult	A-RHP	Rim	Heated	Patch	R-19-A_Adult
93	18-167	Unmethylated	CDS	10.17	R-19-A	Rim-Heated-Patch	Adult	A-RHP	Rim	Heated	Patch	R-19-A_Adult
94	18-167	All_CpGs	Downstream_Flanks	4.6	R-19-A	Rim-Heated-Patch	Adult	A-RHP	Rim	Heated	Patch	R-19-A_Adult
95	18-167	Methylated	Intergenic	56.36	R-19-A	Rim-Heated-Patch	Adult	A-RHP	Rim	Heated	Patch	R-19-A_Adult
96	18-167	All_CpGs	CDS	10.1	R-19-A	Rim-Heated-Patch	Adult	A-RHP	Rim	Heated	Patch	R-19-A_Adult
97	18-167	Sparsely_Methylated	CDS	9.42	R-19-A	Rim-Heated-Patch	Adult	A-RHP	Rim	Heated	Patch	R-19-A_Adult
98	18-167	Sparsely_Methylated	Upstream_Flanks	5.7	R-19-A	Rim-Heated-Patch	Adult	A-RHP	Rim	Heated	Patch	R-19-A_Adult
99	18-167	Sparsely_Methylated	Intergenic	60.42	R-19-A	Rim-Heated-Patch	Adult	A-RHP	Rim	Heated	Patch	R-19-A_Adult
100	18-167	Sparsely_Methylated	Introns	19.93	R-19-A	Rim-Heated-Patch	Adult	A-RHP	Rim	Heated	Patch	R-19-A_Adult
101	18-190	Unmethylated	Intergenic	60.96	P-14-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-14-A_Adult
102	18-190	Methylated	CDS	8.81	P-14-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-14-A_Adult
103	18-190	Methylated	Introns	29.04	P-14-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-14-A_Adult
104	18-190	All_CpGs	Downstream_Flanks	4.73	P-14-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-14-A_Adult
105	18-190	Unmethylated	Upstream_Flanks	6.44	P-14-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-14-A_Adult
106	18-190	Unmethylated	Introns	18.77	P-14-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-14-A_Adult
107	18-190	Unmethylated	Downstream_Flanks	4.94	P-14-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-14-A_Adult
108	18-190	All_CpGs	Intergenic	60.5	P-14-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-14-A_Adult
109	18-190	Methylated	Intergenic	56.1	P-14-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-14-A_Adult
110	18-190	Methylated	Downstream_Flanks	2.82	P-14-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-14-A_Adult
111	18-190	All_CpGs	Upstream_Flanks	6.12	P-14-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-14-A_Adult
112	18-190	Methylated	Upstream_Flanks	3.24	P-14-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-14-A_Adult
113	18-190	All_CpGs	CDS	8.85	P-14-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-14-A_Adult
114	18-190	All_CpGs	Introns	19.79	P-14-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-14-A_Adult
115	18-190	Sparsely_Methylated	Introns	21.45	P-14-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-14-A_Adult
116	18-190	Sparsely_Methylated	Upstream_Flanks	5.5	P-14-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-14-A_Adult
117	18-190	Sparsely_Methylated	Intergenic	60.07	P-14-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-14-A_Adult
118	18-190	Unmethylated	CDS	8.88	P-14-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-14-A_Adult
119	18-190	Sparsely_Methylated	CDS	8.47	P-14-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-14-A_Adult
120	18-190	Sparsely_Methylated	Downstream_Flanks	4.53	P-14-A	Patch-Heated-Patch	Adult	A-PHP	Patch	Heated	Patch	P-14-A_Adult
121	18-202	Unmethylated	Introns	18.37	P-4-A	Patch-Ambient-Patch	Adult	A-PAP	Patch	Ambient	Patch	P-4-A_Adult
122	18-202	All_CpGs	CDS	9.87	P-4-A	Patch-Ambient-Patch	Adult	A-PAP	Patch	Ambient	Patch	P-4-A_Adult
123	18-202	Sparsely_Methylated	Upstream_Flanks	5.65	P-4-A	Patch-Ambient-Patch	Adult	A-PAP	Patch	Ambient	Patch	P-4-A_Adult
124	18-202	All_CpGs	Introns	19.2	P-4-A	Patch-Ambient-Patch	Adult	A-PAP	Patch	Ambient	Patch	P-4-A_Adult
125	18-202	All_CpGs	Upstream_Flanks	6.19	P-4-A	Patch-Ambient-Patch	Adult	A-PAP	Patch	Ambient	Patch	P-4-A_Adult
126	18-202	All_CpGs	Intergenic	60.04	P-4-A	Patch-Ambient-Patch	Adult	A-PAP	Patch	Ambient	Patch	P-4-A_Adult
127	18-202	Sparsely_Methylated	Intergenic	60	P-4-A	Patch-Ambient-Patch	Adult	A-PAP	Patch	Ambient	Patch	P-4-A_Adult
128	18-202	Sparsely_Methylated	Downstream_Flanks	4.48	P-4-A	Patch-Ambient-Patch	Adult	A-PAP	Patch	Ambient	Patch	P-4-A_Adult
129	18-202	Methylated	Upstream_Flanks	3.42	P-4-A	Patch-Ambient-Patch	Adult	A-PAP	Patch	Ambient	Patch	P-4-A_Adult
130	18-202	All_CpGs	Downstream_Flanks	4.7	P-4-A	Patch-Ambient-Patch	Adult	A-PAP	Patch	Ambient	Patch	P-4-A_Adult
131	18-202	Methylated	CDS	9.9	P-4-A	Patch-Ambient-Patch	Adult	A-PAP	Patch	Ambient	Patch	P-4-A_Adult
132	18-202	Unmethylated	CDS	9.88	P-4-A	Patch-Ambient-Patch	Adult	A-PAP	Patch	Ambient	Patch	P-4-A_Adult
133	18-202	Sparsely_Methylated	Introns	20.3	P-4-A	Patch-Ambient-Patch	Adult	A-PAP	Patch	Ambient	Patch	P-4-A_Adult
134	18-202	Unmethylated	Downstream_Flanks	4.89	P-4-A	Patch-Ambient-Patch	Adult	A-PAP	Patch	Ambient	Patch	P-4-A_Adult
135	18-202	Methylated	Intergenic	56.4	P-4-A	Patch-Ambient-Patch	Adult	A-PAP	Patch	Ambient	Patch	P-4-A_Adult
136	18-202	Unmethylated	Upstream_Flanks	6.48	P-4-A	Patch-Ambient-Patch	Adult	A-PAP	Patch	Ambient	Patch	P-4-A_Adult
137	18-202	Methylated	Introns	27.42	P-4-A	Patch-Ambient-Patch	Adult	A-PAP	Patch	Ambient	Patch	P-4-A_Adult
138	18-202	Methylated	Downstream_Flanks	2.86	P-4-A	Patch-Ambient-Patch	Adult	A-PAP	Patch	Ambient	Patch	P-4-A_Adult
139	18-202	Sparsely_Methylated	CDS	9.57	P-4-A	Patch-Ambient-Patch	Adult	A-PAP	Patch	Ambient	Patch	P-4-A_Adult
140	18-202	Unmethylated	Intergenic	60.38	P-4-A	Patch-Ambient-Patch	Adult	A-PAP	Patch	Ambient	Patch	P-4-A_Adult
141	18-227	Sparsely_Methylated	Upstream_Flanks	5.8	R-11-A	Rim-Heated-Patch	Adult	A-RHP	Rim	Heated	Patch	R-11-A_Adult
142	18-227	All_CpGs	CDS	9.42	R-11-A	Rim-Heated-Patch	Adult	A-RHP	Rim	Heated	Patch	R-11-A_Adult
143	18-227	All_CpGs	Intergenic	60.09	R-11-A	Rim-Heated-Patch	Adult	A-RHP	Rim	Heated	Patch	R-11-A_Adult
144	18-227	All_CpGs	Downstream_Flanks	4.76	R-11-A	Rim-Heated-Patch	Adult	A-RHP	Rim	Heated	Patch	R-11-A_Adult
145	18-227	All_CpGs	Upstream_Flanks	6.17	R-11-A	Rim-Heated-Patch	Adult	A-RHP	Rim	Heated	Patch	R-11-A_Adult
146	18-227	Sparsely_Methylated	Introns	20.56	R-11-A	Rim-Heated-Patch	Adult	A-RHP	Rim	Heated	Patch	R-11-A_Adult
147	18-227	Unmethylated	Introns	18.83	R-11-A	Rim-Heated-Patch	Adult	A-RHP	Rim	Heated	Patch	R-11-A_Adult
148	18-227	All_CpGs	Introns	19.56	R-11-A	Rim-Heated-Patch	Adult	A-RHP	Rim	Heated	Patch	R-11-A_Adult
149	18-227	Sparsely_Methylated	Downstream_Flanks	4.59	R-11-A	Rim-Heated-Patch	Adult	A-RHP	Rim	Heated	Patch	R-11-A_Adult
150	18-227	Unmethylated	CDS	9.45	R-11-A	Rim-Heated-Patch	Adult	A-RHP	Rim	Heated	Patch	R-11-A_Adult
151	18-227	Methylated	Upstream_Flanks	3.05	R-11-A	Rim-Heated-Patch	Adult	A-RHP	Rim	Heated	Patch	R-11-A_Adult
152	18-227	Sparsely_Methylated	Intergenic	60.47	R-11-A	Rim-Heated-Patch	Adult	A-RHP	Rim	Heated	Patch	R-11-A_Adult
153	18-227	Methylated	CDS	9.89	R-11-A	Rim-Heated-Patch	Adult	A-RHP	Rim	Heated	Patch	R-11-A_Adult
154	18-227	Methylated	Introns	28.5	R-11-A	Rim-Heated-Patch	Adult	A-RHP	Rim	Heated	Patch	R-11-A_Adult
155	18-227	Unmethylated	Upstream_Flanks	6.42	R-11-A	Rim-Heated-Patch	Adult	A-RHP	Rim	Heated	Patch	R-11-A_Adult
156	18-227	Unmethylated	Intergenic	60.37	R-11-A	Rim-Heated-Patch	Adult	A-RHP	Rim	Heated	Patch	R-11-A_Adult
157	18-227	Methylated	Downstream_Flanks	2.68	R-11-A	Rim-Heated-Patch	Adult	A-RHP	Rim	Heated	Patch	R-11-A_Adult
158	18-227	Sparsely_Methylated	CDS	8.58	R-11-A	Rim-Heated-Patch	Adult	A-RHP	Rim	Heated	Patch	R-11-A_Adult
159	18-227	Methylated	Intergenic	55.88	R-11-A	Rim-Heated-Patch	Adult	A-RHP	Rim	Heated	Patch	R-11-A_Adult
160	18-227	Unmethylated	Downstream_Flanks	4.93	R-11-A	Rim-Heated-Patch	Adult	A-RHP	Rim	Heated	Patch	R-11-A_Adult
161	18-322	Unmethylated	Intergenic	60.57	P-9-A	Patch-Ambient-Patch	Adult	A-PAP	Patch	Ambient	Patch	P-9-A_Adult
162	18-322	Methylated	Intergenic	56.03	P-9-A	Patch-Ambient-Patch	Adult	A-PAP	Patch	Ambient	Patch	P-9-A_Adult
163	18-322	Unmethylated	Downstream_Flanks	4.94	P-9-A	Patch-Ambient-Patch	Adult	A-PAP	Patch	Ambient	Patch	P-9-A_Adult
164	18-322	All_CpGs	Intergenic	60.19	P-9-A	Patch-Ambient-Patch	Adult	A-PAP	Patch	Ambient	Patch	P-9-A_Adult
165	18-322	All_CpGs	Downstream_Flanks	4.73	P-9-A	Patch-Ambient-Patch	Adult	A-PAP	Patch	Ambient	Patch	P-9-A_Adult
166	18-322	Methylated	CDS	8.97	P-9-A	Patch-Ambient-Patch	Adult	A-PAP	Patch	Ambient	Patch	P-9-A_Adult
167	18-322	Methylated	Introns	29.04	P-9-A	Patch-Ambient-Patch	Adult	A-PAP	Patch	Ambient	Patch	P-9-A_Adult
168	18-322	Methylated	Upstream_Flanks	3.24	P-9-A	Patch-Ambient-Patch	Adult	A-PAP	Patch	Ambient	Patch	P-9-A_Adult
169	18-322	Unmethylated	Introns	19.02	P-9-A	Patch-Ambient-Patch	Adult	A-PAP	Patch	Ambient	Patch	P-9-A_Adult
170	18-322	Methylated	Downstream_Flanks	2.71	P-9-A	Patch-Ambient-Patch	Adult	A-PAP	Patch	Ambient	Patch	P-9-A_Adult
171	18-322	All_CpGs	Introns	19.99	P-9-A	Patch-Ambient-Patch	Adult	A-PAP	Patch	Ambient	Patch	P-9-A_Adult
172	18-322	All_CpGs	Upstream_Flanks	6.05	P-9-A	Patch-Ambient-Patch	Adult	A-PAP	Patch	Ambient	Patch	P-9-A_Adult
173	18-322	Sparsely_Methylated	Introns	21.58	P-9-A	Patch-Ambient-Patch	Adult	A-PAP	Patch	Ambient	Patch	P-9-A_Adult
174	18-322	Unmethylated	Upstream_Flanks	6.36	P-9-A	Patch-Ambient-Patch	Adult	A-PAP	Patch	Ambient	Patch	P-9-A_Adult
175	18-322	All_CpGs	CDS	9.04	P-9-A	Patch-Ambient-Patch	Adult	A-PAP	Patch	Ambient	Patch	P-9-A_Adult
176	18-322	Sparsely_Methylated	CDS	8.08	P-9-A	Patch-Ambient-Patch	Adult	A-PAP	Patch	Ambient	Patch	P-9-A_Adult
177	18-322	Unmethylated	CDS	9.11	P-9-A	Patch-Ambient-Patch	Adult	A-PAP	Patch	Ambient	Patch	P-9-A_Adult
178	18-322	Sparsely_Methylated	Upstream_Flanks	5.46	P-9-A	Patch-Ambient-Patch	Adult	A-PAP	Patch	Ambient	Patch	P-9-A_Adult
179	18-322	Sparsely_Methylated	Downstream_Flanks	4.45	P-9-A	Patch-Ambient-Patch	Adult	A-PAP	Patch	Ambient	Patch	P-9-A_Adult
180	18-322	Sparsely_Methylated	Intergenic	60.43	P-9-A	Patch-Ambient-Patch	Adult	A-PAP	Patch	Ambient	Patch	P-9-A_Adult
181	18-358	All_CpGs	Downstream_Flanks	4.76	P-10-A	Patch-Ambient-Patch	Adult	A-PAP	Patch	Ambient	Patch	P-10-A_Adult
182	18-358	Methylated	Upstream_Flanks	3.28	P-10-A	Patch-Ambient-Patch	Adult	A-PAP	Patch	Ambient	Patch	P-10-A_Adult
