Sample.ID	Meth_Status	Feature	counts	Coral.ID	History	LifeStage	Group	Origin	Treatment	Transplant	Col_Life
75	18-130	Methylated	CDS	41255	R-5-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-5-A_Adult
76	18-130	Sparsely_Methylated	Downstream_Flanks	18048	R-5-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-5-A_Adult
77	18-130	Unmethylated	Gene	1430652	R-5-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-5-A_Adult
78	18-130	All_CpGs	Introns	1124521	R-5-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-5-A_Adult
79	18-130	Unmethylated	Intergenic	3006744	R-5-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-5-A_Adult
80	18-130	All_CpGs	Gene	1697060	R-5-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-5-A_Adult
81	18-130	All_CpGs	CDS	565672	R-5-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-5-A_Adult
82	18-130	Unmethylated	All_Flanks	565692	R-5-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-5-A_Adult
83	18-130	Unmethylated	Upstream_Flanks	318703	R-5-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-5-A_Adult
84	18-130	Unmethylated	Downstream_Flanks	246989	R-5-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-5-A_Adult
85	18-142	All_CpGs	Introns	1363324	R-8-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-8-A_Adult
86	18-142	Unmethylated	All_Flanks	678238	R-8-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-8-A_Adult
87	18-142	Unmethylated	Upstream_Flanks	381367	R-8-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-8-A_Adult
88	18-142	All_CpGs	Downstream_Flanks	327862	R-8-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-8-A_Adult
89	18-142	Methylated	Introns	147654	R-8-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-8-A_Adult
90	18-142	All_CpGs	Upstream_Flanks	418973	R-8-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-8-A_Adult
91	18-142	All_CpGs	Intergenic	4138293	R-8-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-8-A_Adult
92	18-142	Methylated	Upstream_Flanks	16568	R-8-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-8-A_Adult
93	18-142	Unmethylated	Intergenic	3625442	R-8-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-8-A_Adult
94	18-142	Unmethylated	Introns	1136201	R-8-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-8-A_Adult
95	18-142	Methylated	All_Flanks	30631	R-8-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-8-A_Adult
96	18-142	All_CpGs	Gene	2004938	R-8-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-8-A_Adult
97	18-142	All_CpGs	CDS	634066	R-8-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-8-A_Adult
98	18-142	Sparsely_Methylated	Introns	79469	R-8-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-8-A_Adult
99	18-142	All_CpGs	All_Flanks	746835	R-8-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-8-A_Adult
100	18-142	Sparsely_Methylated	Upstream_Flanks	21038	R-8-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-8-A_Adult
101	18-142	Sparsely_Methylated	Intergenic	225671	R-8-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-8-A_Adult
102	18-142	Methylated	Gene	192953	R-8-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-8-A_Adult
103	18-142	Methylated	CDS	47573	R-8-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-8-A_Adult
104	18-142	Unmethylated	CDS	554599	R-8-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-8-A_Adult
105	18-142	Sparsely_Methylated	Gene	111228	R-8-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-8-A_Adult
106	18-142	Sparsely_Methylated	CDS	31894	R-8-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-8-A_Adult
107	18-142	Unmethylated	Downstream_Flanks	296871	R-8-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-8-A_Adult
108	18-142	Methylated	Downstream_Flanks	14063	R-8-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-8-A_Adult
109	18-142	Sparsely_Methylated	Downstream_Flanks	16928	R-8-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-8-A_Adult
110	18-142	Sparsely_Methylated	All_Flanks	37966	R-8-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-8-A_Adult
111	18-142	Unmethylated	Gene	1700757	R-8-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-8-A_Adult
112	18-142	Methylated	Intergenic	287180	R-8-A	Rim-Ambient-Patch	Adult	A-RAP	Rim	Ambient	Patch	R-8-A_Adult
113	18-167	Unmethylated	CDS	301923	R-19-A	Rim-Heated-Patch	Adult	A-RHP	Rim	Heated	Patch	R-19-A_Adult
114	18-167	Unmethylated	Introns	548657	R-19-A	Rim-Heated-Patch	Adult	A-RHP	Rim	Heated	Patch	R-19-A_Adult
115	18-167	Sparsely_Methylated	All_Flanks	24616	R-19-A	Rim-Heated-Patch	Adult	A-RHP	Rim	Heated	Patch	R-19-A_Adult
116	18-167	Sparsely_Methylated	Upstream_Flanks	13713	R-19-A	Rim-Heated-Patch	Adult	A-RHP	Rim	Heated	Patch	R-19-A_Adult
117	18-167	All_CpGs	Introns	674723	R-19-A	Rim-Heated-Patch	Adult	A-RHP	Rim	Heated	Patch	R-19-A_Adult
118	18-167	Unmethylated	Gene	855608	R-19-A	Rim-Heated-Patch	Adult	A-RHP	Rim	Heated	Patch	R-19-A_Adult
119	18-167	Methylated	Gene	104928	R-19-A	Rim-Heated-Patch	Adult	A-RHP	Rim	Heated	Patch	R-19-A_Adult
120	18-167	Methylated	CDS	28018	R-19-A	Rim-Heated-Patch	Adult	A-RHP	Rim	Heated	Patch	R-19-A_Adult
121	18-167	All_CpGs	Gene	1031169	R-19-A	Rim-Heated-Patch	Adult	A-RHP	Rim	Heated	Patch	R-19-A_Adult
122	18-167	All_CpGs	CDS	352577	R-19-A	Rim-Heated-Patch	Adult	A-RHP	Rim	Heated	Patch	R-19-A_Adult
123	18-167	Methylated	Intergenic	159495	R-19-A	Rim-Heated-Patch	Adult	A-RHP	Rim	Heated	Patch	R-19-A_Adult
124	18-167	Methylated	Downstream_Flanks	7946	R-19-A	Rim-Heated-Patch	Adult	A-RHP	Rim	Heated	Patch	R-19-A_Adult
125	18-167	Sparsely_Methylated	Gene	70633	R-19-A	Rim-Heated-Patch	Adult	A-RHP	Rim	Heated	Patch	R-19-A_Adult
126	18-167	All_CpGs	All_Flanks	369123	R-19-A	Rim-Heated-Patch	Adult	A-RHP	Rim	Heated	Patch	R-19-A_Adult
